dotId,x,y,r
0,8.41315,-0.8206417,0.74848294
1,15.382075,3.076997,0.74839926
2,22.351389,6.97503,0.74828535
3,29.321121,10.8735485,0.74812496
4,36.291393,14.772561,0.7479165
5,43.262474,18.672243,0.7476751
6,50.233574,22.572239,0.7473475
7,57.2052,26.472803,0.7469849
8,64.177155,30.373865,0.74654984
9,71.148834,34.27511,0.74603593
10,78.12052,38.176693,0.7454715
11,85.091484,42.078228,0.74481
12,92.06167,45.97974,0.7440787
13,99.03082,49.88103,0.74329525
14,105.99939,53.782345,0.74243456
15,112.96701,57.683502,0.74152803
16,119.93345,61.584373,0.7405882
17,126.90042,65.48581,0.7396392
18,133.86743,69.387535,0.73868734
19,140.83594,73.29033,0.7377875
20,147.80792,77.195175,0.73697937
21,154.78494,81.102844,0.736302
22,161.77046,85.015175,0.73582816
23,168.7678,88.93384,0.735646
24,175.7828,92.861885,0.73581785
25,182.82092,96.80221,0.7364753
26,189.89085,100.759346,0.7377513
27,197.00392,104.73923,0.73976755
28,8.303788,-8.804329,0.7485688
29,15.272856,-4.9067307,0.748443
30,22.242252,-1.0088636,0.74827135
31,29.212059,2.8894088,0.74807554
32,36.182285,6.788118,0.74782366
33,43.153366,10.687386,0.7475253
34,50.124638,14.587145,0.7471721
35,57.09625,18.487373,0.7467592
36,64.06828,22.38807,0.74628294
37,71.040375,26.289211,0.74572986
38,78.01215,30.190533,0.7451178
39,84.98366,34.092136,0.7444188
40,91.9544,37.993736,0.7436535
41,98.92392,41.895145,0.742809
42,105.89296,45.796654,0.741906
43,112.86105,49.698048,0.740949
44,119.827965,53.599224,0.7399343
45,126.794716,57.50058,0.73892343
46,133.76176,61.402355,0.7378778
47,140.72946,65.30468,0.7368816
48,147.69983,69.208496,0.73595876
49,154.67462,73.11465,0.7351408
50,161.65622,77.024254,0.734517
51,168.64813,80.93901,0.73411894
52,175.65532,84.86132,0.7340834
53,182.68297,88.793755,0.73445237
54,189.73865,92.74006,0.7353835
55,196.8325,96.705246,0.73705125
56,8.194518,-16.78824,0.7487631
57,15.163776,-12.89072,0.7485771
58,22.133307,-8.992961,0.7483676
59,29.103191,-5.0948553,0.7481111
60,36.073444,-1.1963449,0.7478216
61,43.04451,2.7026079,0.7474724
62,50.015934,6.6020336,0.7470759
63,56.98754,10.50196,0.74661136
64,63.959618,14.402368,0.7460948
65,70.93195,18.303276,0.7455193
66,77.903854,22.204407,0.7448549
67,84.8758,26.105932,0.7441232
68,91.84687,30.007524,0.74331164
69,98.81702,33.909092,0.7424176
70,105.786285,37.810688,0.74147755
71,112.75485,41.712276,0.7404586
72,119.72241,45.61378,0.7393949
73,126.68897,49.51516,0.7383029
74,133.65616,53.41701,0.737198
75,140.62347,57.319168,0.7361051
76,147.59264,61.222324,0.7350776
77,154.56567,65.127365,0.73414683
78,161.5442,69.03497,0.7333666
79,168.5319,72.946815,0.73280096
80,175.53244,76.864525,0.7325549
81,182.55157,80.79077,0.73267716
82,189.59529,84.72835,0.7333179
83,196.6727,88.68147,0.7346048
84,8.085382,-24.772707,0.7490367
85,15.054855,-20.875113,0.7488162
86,22.024525,-16.977337,0.74855536
87,28.994476,-13.079301,0.748253
88,35.964867,-9.180972,0.74790883
89,42.935978,-5.2822795,0.7475214
90,49.907413,-1.3830884,0.7470862
91,56.87905,2.5165575,0.7465726
92,63.851177,6.4166894,0.7460174
93,70.823616,10.3173,0.7453884
94,77.79572,14.218293,0.7446846
95,84.7679,18.119616,0.7439056
96,91.73928,22.021183,0.7430522
97,98.709984,25.922832,0.7421226
98,105.67946,29.824495,0.7411293
99,112.64848,33.726254,0.74006873
100,119.61653,37.62798,0.7389518
101,126.58329,41.529522,0.73779035
102,133.55046,45.43143,0.7366274
103,140.51772,49.33359,0.7354534
104,147.48608,53.236397,0.73432434
105,154.45766,57.140602,0.73329276
106,161.43404,61.04687,0.732375
107,168.41817,64.95643,0.73166865
108,175.41345,68.87065,0.73121643
109,182.4254,72.79193,0.7311394
110,189.4592,76.722496,0.73150885
111,196.52306,80.665955,0.7324709
112,7.976275,-32.75763,0.7494327
113,14.94599,-28.859928,0.7491421
114,21.915854,-24.9621,0.7488367
115,28.885988,-21.064114,0.7484904
116,35.856586,-17.165926,0.74809986
117,42.827747,-13.267401,0.74766064
118,49.799137,-9.368411,0.74716175
119,56.770805,-5.468926,0.7466219
120,63.742992,-1.569024,0.7460078
121,70.71548,2.3312933,0.74534017
122,77.687744,6.2321086,0.74459916
123,84.66001,10.13328,0.74377996
