dotId,x,y,r
0,8.725789,-0.49040428,0.7478483
1,15.687982,3.4034982,0.74773574
2,22.649979,7.296884,0.7475942
3,29.61203,11.189903,0.74742794
4,36.574364,15.082674,0.74723476
5,43.53756,18.975529,0.7470213
6,50.501057,22.868223,0.7467507
7,57.46562,26.761177,0.7464791
8,64.43145,30.65454,0.7461566
9,71.39832,34.54822,0.7457857
10,78.3668,38.44254,0.7453891
11,85.33656,42.337376,0.7449346
12,92.30787,46.23295,0.7444203
13,99.280624,50.1292,0.7438738
14,106.255516,54.02661,0.7432589
15,113.23212,57.924965,0.7425753
16,120.20996,61.824097,0.74182934
17,127.19026,65.724724,0.7410105
18,134.17169,69.62623,0.7400921
19,141.15433,73.52868,0.7390914
20,148.13834,77.43231,0.73800087
21,155.12276,81.33663,0.7367847
22,162.1077,85.241844,0.73545367
23,169.09215,89.14745,0.7340089
24,176.07654,93.0538,0.73241645
25,183.05946,96.960266,0.7306936
26,190.04124,100.86711,0.7288355
27,197.02287,104.77494,0.72683614
28,8.617515,-8.463647,0.7479658
29,15.580276,-4.569108,0.74780035
30,22.542734,-0.6752173,0.7476101
31,29.505194,3.2181666,0.7473874
32,36.467735,7.111164,0.7471499
33,43.43106,11.004031,0.74687755
34,50.39485,14.896801,0.74657196
35,57.359375,18.789547,0.7462279
36,64.325096,22.682547,0.74586254
37,71.292076,26.575914,0.7454432
38,78.260155,30.469557,0.74499536
39,85.229904,34.36387,0.74448895
40,92.201004,38.25873,0.7439388
41,99.17337,42.154144,0.74332905
42,106.147835,46.050575,0.74267143
43,113.12406,49.947937,0.7419446
44,120.1017,53.84611,0.7411305
45,127.0812,57.745422,0.74028164
46,134.06253,61.64588,0.73931116
47,141.0448,65.54719,0.73826003
48,148.0284,69.44956,0.73712665
49,155.0129,73.35292,0.7358621
50,161.99762,77.25697,0.73449403
51,168.98224,81.161705,0.7329876
52,175.96666,85.0671,0.7313718
53,182.94997,88.97285,0.7295874
54,189.9319,92.87889,0.7276725
55,196.91301,96.78555,0.7256416
56,8.509049,-16.438572,0.74818087
57,15.472407,-12.543305,0.7479653
58,22.435453,-8.648809,0.7477176
59,29.398336,-4.754894,0.74745417
60,36.361256,-0.8615178,0.74715745
61,43.324787,3.0315204,0.74684316
62,50.288895,6.924385,0.74648386
63,57.25346,10.817095,0.74608713
64,64.21919,14.709938,0.7456706
65,71.18618,18.602982,0.74521214
66,78.154106,22.496273,0.7447005
67,85.12378,26.390045,0.7441561
68,92.09461,30.284296,0.743552
69,99.06692,34.179092,0.74288833
70,106.04081,38.07462,0.7421803
71,113.01669,41.971092,0.7414056
72,119.994194,45.86841,0.74055845
73,126.97291,49.766525,0.73963445
