dotId,x,y,r
0,8.709992,-0.6353678,0.7478435
1,15.672282,3.2589588,0.7476177
2,22.633467,7.1528177,0.7473423
3,29.593462,11.04615,0.74702126
4,36.552277,14.939008,0.74665284
5,43.510235,18.831417,0.7462424
6,50.466568,22.723145,0.74577594
7,57.421967,26.614363,0.7452862
8,64.37656,30.505169,0.7447451
9,71.33005,34.3954,0.74417615
10,78.2832,38.2854,0.7435845
11,85.23582,42.175068,0.7429615
12,92.18846,46.06468,0.7423127
13,99.14147,49.954353,0.7416781
14,106.09603,53.844677,0.7410258
15,113.052414,57.735813,0.7403767
16,120.01096,61.627865,0.7397386
17,126.97389,65.52198,0.7391308
18,133.94101,69.41808,0.73852944
19,140.91382,73.31687,0.7379779
20,147.89403,77.21926,0.73747563
21,154.88246,81.125656,0.7370148
22,161.88132,85.03718,0.73662657
23,168.8919,88.95453,0.7363284
24,175.9173,92.87925,0.73611253
25,182.95906,96.812225,0.7360149
26,190.02081,100.75532,0.7360683
27,197.10733,104.71103,0.73627913
28,8.600604,-8.617969,0.7479044
29,15.563175,-4.723123,0.7476459
30,22.52466,-0.82871723,0.7473218
31,29.485004,3.0652728,0.7469647
32,36.444088,6.958723,0.7465519
33,43.402317,10.851767,0.7460935
34,50.359142,14.744224,0.74558085
35,57.314785,18.636143,0.74502957
36,64.26955,22.527578,0.74444616
37,71.223465,26.418552,0.743823
38,78.176506,30.309067,0.7431817
39,85.12931,34.19934,0.7425063
40,92.08191,38.089382,0.7418068
41,99.0345,41.979298,0.74109435
42,105.98847,45.869633,0.74038893
43,112.94405,49.760544,0.7396764
44,119.90168,53.652225,0.7389492
45,126.86274,57.545303,0.7382855
46,133.8283,61.440285,0.7376001
47,140.79872,65.33737,0.7369658
48,147.77596,69.23749,0.73637694
49,154.76126,73.141235,0.735823
50,161.7559,77.04926,0.7353466
51,168.76181,80.962494,0.73492074
52,175.7814,84.88212,0.73461384
53,182.81656,88.80911,0.7343815
54,189.87024,92.74496,0.73428714
55,196.94661,96.69169,0.7343793
56,8.490925,-16.600626,0.74807453
57,15.453726,-12.705372,0.74777585
58,22.415506,-8.810476,0.7474138
59,29.37615,-4.915945,0.74699503
60,36.335552,-1.0218672,0.74653333
61,43.29406,2.871719,0.7460333
62,50.251328,6.764852,0.7454769
63,57.207207,10.657435,0.7448834
64,64.16223,14.5495405,0.74424887
65,71.11647,18.44119,0.74358183
66,78.0696,22.33235,0.7428771
67,85.02263,26.223194,0.7421482
68,91.97513,30.113678,0.7414009
69,98.92775,34.004036,0.7406239
70,105.88109,37.89447,0.7398586
71,112.836075,41.785343,0.7390779
72,119.79307,45.67685,0.73830175
73,126.752525,49.5692,0.7375428
74,133.71667,53.46328,0.7368028
75,140.68523,57.35909,0.73608047
