dotId,x,y,r
0,8.622005,2.1105382,0.7486994
1,15.5942545,6.0115466,0.74859846
2,22.566463,9.912883,0.748441
3,29.53851,13.814386,0.74821424
4,36.5103,17.716059,0.74795616
5,43.48198,21.618002,0.74761844
6,50.45265,25.519657,0.7472204
7,57.422867,29.421394,0.74676687
8,64.39244,33.323032,0.7462621
9,71.36081,37.224323,0.74567485
10,78.32852,41.125534,0.7450509
11,85.29492,45.026337,0.7443616
12,92.260185,48.926815,0.7436028
13,99.22442,52.827007,0.7428265
14,106.18806,56.7272,0.7419801
15,113.15091,60.62727,0.7410807
16,120.11283,64.527145,0.74016124
17,127.075264,68.42765,0.7391893
18,134.03728,72.32828,0.7381748
19,140.99971,76.22948,0.7371408
20,147.96336,80.13174,0.7360685
21,154.92805,84.03498,0.7349745
22,161.89507,87.93989,0.73384935
23,168.86467,91.84665,0.7327364
24,175.83853,95.75622,0.7316009
25,182.81712,99.66887,0.7304823
26,189.80266,103.58586,0.7294047
27,196.7982,107.50889,0.7283412
28,8.509742,-5.8794284,0.7487107
29,15.481854,-1.9786167,0.7485766
30,22.453959,1.9225242,0.7483771
31,29.425985,5.823949,0.74811566
32,36.39767,9.725608,0.7477892
33,43.369354,13.627475,0.7474183
34,50.340256,17.529356,0.7469692
35,57.31049,21.431265,0.7464756
36,64.280136,25.3331,0.74591917
37,71.248886,29.234821,0.745294
38,78.21658,33.136326,0.74462587
39,85.18334,37.03763,0.7438779
40,92.14892,40.938625,0.74309146
41,99.113106,44.8392,0.74224055
42,106.07681,48.739777,0.7413499
43,113.03971,52.64023,0.7404076
44,120.001595,56.54044,0.73940325
45,126.96351,60.44095,0.73839563
46,133.9254,64.34173,0.7373093
47,140.88719,68.24279,0.7362029
48,147.84993,72.14462,0.7350758
49,154.81383,76.047386,0.73389864
50,161.77942,79.95139,0.7327167
51,168.7473,83.85695,0.73149884
52,175.71901,87.76486,0.7302974
53,182.69492,91.67539,0.72907454
54,189.6768,95.589455,0.7278749
55,196.6674,99.50851,0.7267491
56,8.397515,-13.868632,0.748821
57,15.369477,-9.968146,0.74863
58,22.341475,-6.0672436,0.74838495
59,29.313396,-2.165989,0.74808395
60,36.28502,1.7355518,0.7477173
61,43.256588,5.6373644,0.7473034
62,50.227688,9.539349,0.7468122
63,57.197884,13.441314,0.74627507
64,64.167595,17.343372,0.7456765
65,71.13661,21.245386,0.7450091
66,78.10433,25.147177,0.74428535
67,85.071434,29.048885,0.74349934
68,92.03715,32.950283,0.7426615
69,99.00165,36.851376,0.74175584
70,105.96525,40.752296,0.7408189
71,112.92819,44.653126,0.7398233
72,119.89031,48.553814,0.7387718
73,126.85162,52.45438,0.7376935
74,133.81345,56.355385,0.7365617
75,140.77486,60.256477,0.7353875
76,147.7368,64.15807,0.73418623
77,154.70001,68.06054,0.7329535
