0.0 0.0
0.25 0.000198
0.5 0.000178
0.75 0.000289
1.0 0.00042699999999999997
1.25 0.000352
1.5 0.000632
1.75 0.000995
2.0 0.000811
2.25 0.000751
2.5 0.000651
2.75 0.000986
3.0 0.00048
3.25 0.000691
3.5 0.00043
3.75 0.0001385
4.0 -0.000422
4.25 -0.000645
4.5 -0.0008684999999999999
4.75 -0.000995
5.0 -0.001144
5.25 -0.000794
5.5 -0.0005955
5.75 -1.6e-05
6.0 0.000409
6.25 0.00159
6.5 0.002425
6.75 0.002717
7.0 0.002684
7.25 0.002094
7.5 0.001175
7.75 0.000683
8.0 0.000307
8.25 0.0009025
8.5 -0.001772
8.75 0.000896
9.0 -7.2e-05
9.25 0.013001
